time,team,site,odds
2020-12-28 21:32:13.827687,Buffalo Bills,williamhill_us,1.29
2020-12-28 21:32:13.827695,Buffalo Bills,caesars,1.04
2020-12-28 21:32:13.827697,Buffalo Bills,betfair,1.06
2020-12-28 21:32:13.827699,Buffalo Bills,gtbets,1.07
2020-12-28 21:32:13.827700,Buffalo Bills,betrivers,1.02
2020-12-28 21:32:13.827702,Buffalo Bills,sugarhouse,1.02
2020-12-28 21:32:13.827704,Buffalo Bills,draftkings,1.02
2020-12-28 21:32:13.827705,Buffalo Bills,unibet,1.02
2020-12-28 21:32:13.827706,Buffalo Bills,mybookieag,1.2
2020-12-28 21:32:13.827708,Buffalo Bills,betmgm,1.04
2020-12-28 21:32:13.827710,Buffalo Bills,pointsbetus,1.05
2020-12-28 21:32:13.827711,Buffalo Bills,fanduel,1.03
2020-12-28 21:32:13.827713,New England Patriots,williamhill_us,3.8
2020-12-28 21:32:13.827715,New England Patriots,caesars,12.0
2020-12-28 21:32:13.827716,New England Patriots,betfair,12.0
2020-12-28 21:32:13.827717,New England Patriots,gtbets,7.34
2020-12-28 21:32:13.827719,New England Patriots,betrivers,14.0
2020-12-28 21:32:13.827721,New England Patriots,sugarhouse,14.0
2020-12-28 21:32:13.827722,New England Patriots,draftkings,14.0
2020-12-28 21:32:13.827723,New England Patriots,unibet,14.0
2020-12-28 21:32:13.827725,New England Patriots,mybookieag,3.95
2020-12-28 21:32:13.827726,New England Patriots,betmgm,11.0
2020-12-28 21:32:13.827728,New England Patriots,pointsbetus,12.5
2020-12-28 21:32:13.827729,New England Patriots,fanduel,12.2
2020-12-28 21:32:13.827732,Dallas Cowboys,lowvig,1.64
2020-12-28 21:32:13.827734,Dallas Cowboys,betonlineag,1.63
2020-12-28 21:32:13.827735,Dallas Cowboys,williamhill_us,1.67
2020-12-28 21:32:13.827737,Dallas Cowboys,fanduel,1.64
2020-12-28 21:32:13.827738,Dallas Cowboys,sugarhouse,1.68
2020-12-28 21:32:13.827740,Dallas Cowboys,unibet,1.68
2020-12-28 21:32:13.827741,Dallas Cowboys,betrivers,1.68
2020-12-28 21:32:13.827743,Dallas Cowboys,draftkings,1.68
2020-12-28 21:32:13.827744,Dallas Cowboys,pointsbetus,1.67
2020-12-28 21:32:13.827745,Dallas Cowboys,bookmaker,1.67
2020-12-28 21:32:13.827747,Dallas Cowboys,bovada,1.65
2020-12-28 21:32:13.827748,Dallas Cowboys,betmgm,1.67
2020-12-28 21:32:13.827750,Dallas Cowboys,gtbets,1.67
2020-12-28 21:32:13.827752,Dallas Cowboys,betfair,1.66
2020-12-28 21:32:13.827753,Dallas Cowboys,caesars,1.67
2020-12-28 21:32:13.827755,New York Giants,lowvig,2.37
